station,lat,lon,dyear,dtemp
690110-99999,42.608,-82.835,9,0.6321350762527231
726686-24025,44.381,-100.286,8,-1.386666666666656
724096-14706,40.017,-74.6,38,0.3839444444444666
727645-24012,46.799,-102.797,8,-0.836888888888879
724676-99999,39.223,-106.869,2,0.032777777777766914
702070-26627,63.883,-160.8,39,0.9739776162534639
725460-14933,41.534,-93.653,13,-0.25766666666662275
726379-14845,43.533,-84.08,13,0.16413409961684522
725845-23225,39.277,-120.71,13,-0.29318253968253316
724085-94732,40.082,-75.011,9,0.49611111111109096
702755-99999,61.433,-142.933,1,0.2912889983579561
726400-14839,42.955,-87.904,38,0.5958333333333314
724010-13740,37.505,-77.32,43,0.22022222222220478
724456-13997,38.131,-91.768,8,-0.07255555555556725
703870-99999,56.484,-132.37,3,0.819700854700848
702670-26415,63.994,-145.721,40,1.5419893267652185
723535-99999,36.333,-97.917,34,-0.10128372700098964
724100-13733,37.321,-79.207,13,0.13161111111111268
726185-14605,44.316,-69.797,13,-1.034944444444477
724345-03966,38.657,-90.656,1,-0.4409444444444546
722430-12960,29.98,-95.36,13,1.1202777777777726
722260-13895,32.3,-86.408,13,0.9887679863771837
912850-21504,19.719,-155.053,13,0.17161111111113314
724565-13920,38.95,-95.664,39,0.049180842911852096
747187-03104,33.627,-116.159,42,0.573760536398467
747810-99999,30.967,-83.2,34,0.18046974864213894
992180-99999,45.3,-86.3,2,-0.32977777777777106
722800-23195,32.667,-114.6,3,0.3831647509578744
724645-23070,37.262,-104.338,13,0.5646666666666533
722686-23008,34.383,-103.317,38,1.5559657671164189
743700-99999,44.05,-75.733,28,0.40852473205806916
724075-13735,39.367,-75.067,13,-0.3268295019156682
747910-13717,33.683,-78.933,39,0.05133333333333212
725087-14752,41.736,-72.651,2,-0.5573888888888945
722070-03822,32.13,-81.21,38,1.5168333333333521
724767-99999,37.3,-108.633,3,0.3424022988505726
724515-23064,37.927,-100.725,39,-0.7313015873015871
724475-93909,38.832,-94.89,3,-0.4519999999999982
727530-14914,46.925,-96.811,38,1.8529444444444607
725395-14833,42.267,-84.467,13,-1.073944444444436
725366-14825,41.014,-83.669,13,0.43626819923372295
724400-13995,37.24,-93.39,13,0.2930555555555543
725955-24259,41.781,-122.472,28,0.1768902572522677
725067-99999,41.667,-70.267,3,-0.1706527777777609
722040-12838,28.101,-80.644,7,-0.24622222222222945
725040-94702,41.158,-73.129,42,0.3128253968254029
911700-22508,21.487,-158.028,42,0.2885701194274759
725390-14836,42.78,-84.579,13,0.1717777777777343
725290-14768,43.117,-77.677,13,-0.2291666666666572
726620-24090,44.043,-103.054,13,0.12372222222219875
724285-13812,39.817,-82.933,31,-0.19277777777779193
723520-13902,34.65,-99.267,38,1.727399204244037
722486-13942,32.516,-92.041,43,-0.5444444444444514
992440-99999,26.0,-85.9,4,-0.17511111111112143
999999-24155,45.698,-118.855,3,-0.15611111111110176
724695-23036,39.717,-104.75,20,1.5078888888889281
723035-99999,34.983,-78.883,3,0.12199999999999989
723890-93193,36.78,-119.719,44,1.052666666666667
722517-12932,27.741,-98.025,34,0.6932037037036451
702710-26425,62.159,-145.459,41,1.568277777777766
725785-24145,43.516,-112.067,13,0.2517222222222273
722545-99999,30.2,-97.683,20,-1.3698444444444675
724655-93990,39.376,-99.83,13,0.6111660236314833
726225-04742,44.651,-73.468,10,0.009444444444440592
702750-26442,61.13,-146.352,3,0.6541609195402245
725287-04724,43.108,-78.938,30,0.8730380116959395
727830-24149,46.375,-117.016,13,-0.05410153256705996
723940-23273,34.899,-120.449,13,-0.3413333333333384
724665-93010,39.189,-103.716,9,0.7541534695614729
725610-24030,41.099,-102.986,4,0.4655555555555253
722140-93805,30.393,-84.353,44,0.5224999999999369
745980-13702,37.083,-76.36,44,0.14935933223863174
726390-94849,45.072,-83.564,13,0.39517241379307677
727928-99999,47.483,-122.75,3,0.45233333333332837
727576-14916,47.943,-97.184,8,-1.0638888888889113
726585-99999,44.223,-93.919,3,0.11922222222223411
725046-14707,41.328,-72.049,38,-0.3082037037036969
722405-13976,30.205,-91.988,40,-0.11716666666666242
911620-22501,22.033,-159.783,41,0.23609656253618994
723830-23187,34.744,-118.724,13,1.2189341543514445
727120-14607,46.871,-68.017,13,-0.5573888888888803
723825-23131,34.583,-117.383,31,1.798368742368723
722340-13865,32.335,-88.744,44,0.17622222222220785
727857-99999,46.75,-117.117,3,0.0008446147296439221
724500-03928,37.648,-97.43,13,0.3643333333333345
745700-13840,39.833,-84.05,45,-0.5046111111111315
703500-25501,57.751,-152.486,41,2.3235651340996384
722890-93136,34.233,-118.067,2,0.4446666666666772
725090-14739,42.361,-71.011,42,1.3569999999999993
722577-99999,31.15,-97.4,31,0.1976666666666489
723656-23049,35.617,-106.089,35,1.3707969348659077
747880-12810,27.85,-82.517,40,0.3663787878787872
725267-94868,41.383,-79.867,9,0.2674130485364401
724067-99999,39.317,-76.4,5,0.23090317219013912
725455-14931,40.783,-91.125,8,0.5096666666666749
722280-13876,33.566,-86.745,43,-0.11288888888887527
725510-14939,40.851,-96.748,43,0.6661111111111211
746930-93737,35.133,-78.933,19,1.705566877566838
